Close (BTC),Volume (BTC),Close (ETH),Volume (ETH),Close (USDT),Volume (USDT),Close (BNB),Volume (BNB)
43574.5078125,38139709246,3077.867919921875,23742102645,1.000040054321289,80708278656,379.4403381347656,1678913732
44895.09765625,34244064430,3155.523681640625,18516291047,1.0005079507827759,71255677560,383.8204040527344,1576382603
42839.75,42839345714,2931.669189453125,25595422789,1.0008200407028198,93076113024,355.3162841796875,2081157733
42716.59375,31604717236,2925.565673828125,18932786754,1.0009889602661133,66583739947,349.8800964355469,1388464569
43208.5390625,30661222077,3062.265380859375,21172766310,1.0007250308990479,78196884599,344.1817626953125,1958526741
42235.73046875,30980029059,2934.138916015625,19164053681,1.000512957572937,70088186310,336.19122314453125,1507056912
41034.54296875,30214940550,2807.296630859375,16895079070,1.000298023223877,66373042997,333.0325927734375,1294330921
41564.36328125,30602359905,2853.143310546875,15763456158,1.0002820491790771,64767185195,367.9895935058594,2385693434
43790.89453125,31141681925,3001.678955078125,17661065099,1.000154972076416,65935536533,387.0573425292969,1796235646
48116.94140625,42850641582,3307.51611328125,22307625573,1.0001779794692993,81411630527,421.6431884765625,2162493378
47711.48828125,30614346492,3391.6943359375,19202671704,1.00028395652771,67747297412,428.09832763671875,1740937420
48199.953125,26638115879,3418.358642578125,15516566862,1.0002009868621826,61784201197,430.5088195800781,1470899248
49112.90234375,33383173002,3380.089111328125,17747154101,0.9998379945755005,74166327976,425.7489013671875,1647171955
51514.8125,35873904236,3518.5185546875,16632591670,1.000440001487732,76210707722,442.7061462402344,1526827785
55361.44921875,49034730168,3580.56201171875,21855226591,1.0003169775009155,96553805180,435.4013671875,2006344571
53805.984375,36807860413,3587.974853515625,19090322927,1.0003750324249268,91580420731,438.7617492675781,1962989705
53967.84765625,34800873924,3563.75927734375,16222029488,1.000115990638733,79865522045,419.10205078125,2678048368
54968.22265625,32491211414,3575.716796875,12707036942,1.0000460147857666,67391135102,421.5494689941406,1404867667
54771.578125,39527792364,3425.852783203125,16171746693,1.0010180473327637,69927661418,405.0693054199219,1437068558
57484.7890625,42637331698,3545.35400390625,18579189588,1.0006959438323975,75741431317,413.4562072753906,1473121389
56041.05859375,41083758949,3492.5732421875,18109578443,1.0000959634780884,73275476508,443.8675231933594,3142304145
57401.09765625,41684252783,3606.20166015625,16211275589,1.0000970363616943,78117249743,470.74969482421875,5149146903
57321.5234375,36615791366,3786.01416015625,19443499909,1.000033974647522,68955958208,472.02239990234375,2486819344
61593.94921875,51780081801,3862.634765625,20966841512,0.9991520047187805,89456766433,473.70263671875,2804538828
60892.1796875,34250964237,3830.382080078125,16578095629,1.000040054321289,65419462010,465.6424560546875,1904086807
61553.6171875,29032367511,3847.1044921875,15908090346,1.0002800226211548,57600914728,470.62554931640625,1646437501
62026.078125,38055562075,3748.76025390625,17386204158,1.0000189542770386,66503250420,485.11102294921875,1999805026
64261.9921875,40471196346,3877.65087890625,15998757133,1.0001169443130493,62387883982,488.14886474609375,1844483840
65992.8359375,40788955582,4155.9921875,20338319988,0.9999399781227112,70187915900,501.02032470703125,1890415594
62210.171875,45908121370,4054.32275390625,28220661820,1.000022053718567,84189482202,471.2569274902344,3081793454
60692.265625,38434082775,3970.181884765625,19432937968,0.999879002571106,73919161798,478.6431579589844,1962748496
61393.6171875,26882546034,4171.66357421875,14781537792,1.0008230209350586,55395032239,485.90643310546875,1170864603
60930.8359375,27316183882,4087.903076171875,14978083638,1.0002230405807495,66669467996,476.63311767578125,1246191889
63039.82421875,31064911614,4217.876953125,15995727040,0.9993749856948853,66194185821,484.64508056640625,1337787876
60363.79296875,34878965587,4131.10205078125,17157714562,1.0002280473709106,77630649473,478.0250549316406,1486193826
58482.38671875,43657076893,3930.25732421875,26219530404,1.0007909536361694,124069805053,449.00799560546875,2340091135
60622.13671875,45257083247,4287.31884765625,25958154575,1.0004839897155762,121660107352,492.0155334472656,2626956133
62227.96484375,36856881767,4414.74658203125,22967641914,1.0000489950180054,87302831458,529.6221313476562,2667451365
61888.83203125,32157938616,4325.650390625,14615490626,1.0005179643630981,86474453142,527.9212036132812,2194893915
61318.95703125,32241199927,4288.07421875,17498160238,1.0003759860992432,91561112863,524.3644409179688,2076289915
61004.40625,36150572843,4324.626953125,17985288261,1.0002909898757935,87025283378,551.2559204101562,2535579529
63226.40234375,37746665647,4584.798828125,20794448222,1.0008150339126587,149878312204,554.4476318359375,2401108112
62970.046875,36124731509,4607.19384765625,21220463155,1.0006779432296753,89436836448,568.5787963867188,2567651316
61452.23046875,32615846901,4537.32421875,18415244464,1.0008569955825806,87280485610,559.7373046875,2260479871
61125.67578125,30605102446,4486.2431640625,15086003586,1.0015530586242676,76677676369,608.6480712890625,3675930507
61527.48046875,29094934221,4521.5810546875,14429076700,1.0014539957046509,65151095549,636.1139526367188,2779927044
63326.98828125,24726754302,4620.5546875,13541376033,1.0015170574188232,55905241687,650.4540405273438,3017167868
67566.828125,41125608330,4812.08740234375,19290896267,1.0004429817199707,82548510715,654.3150024414062,2828112534
66971.828125,42357991721,4735.06884765625,20834172627,1.000201940536499,93002275939,635.1906127929688,2198989754
64995.23046875,48730828378,4636.17431640625,22748160545,1.0000970363616943,113809197171,615.278076171875,3653998344
64949.9609375,35880633236,4730.38427734375,17933201129,1.0006439685821533,83970826408,629.892333984375,2341652507
64155.94140625,36084893887,4667.115234375,18316060208,1.0001139640808105,82883678293,626.6425170898438,2209163398
64469.52734375,30474228777,4651.46044921875,14457436261,1.0008480548858643,65797472687,650.1041259765625,2106170805
65466.83984375,25122092191,4626.35888671875,12172962219,1.0003670454025269,54429579952,650.9180908203125,2101401990
63557.87109375,30558763548,4557.50390625,16275851299,1.0015020370483398,64113625426,633.0486450195312,2146877925
60161.24609375,46844335592,4216.365234375,27417502801,1.0006749629974365,98954557342,589.8228759765625,3772957260
60368.01171875,39178392930,4287.59375,22183461850,1.0000629425048828,84478860409,578.0927734375,2704847734
56942.13671875,41388338699,4000.65087890625,21383250893,0.999970018863678,95287465626,532.2376098632812,2917116815
58119.578125,38702407772,4298.306640625,20626269711,1.0008200407028198,82193745588,581.5308227539062,2481119529
59697.1953125,30624264863,4409.93115234375,15448261277,1.0003620386123657,72417177800,603.8400268554688,2336197759
58730.4765625,26123447605,4269.73291015625,14094831413,1.0008729696273804,69057268195,585.2942504882812,2055539646
56289.2890625,35036121783,4088.457763671875,19752218877,1.0004509687423706,79375135623,559.1270141601562,2251971535
57569.07421875,37485803899,4340.763671875,22133497059,1.0001250505447388,84196469142,591.4395751953125,2927434189
56280.42578125,36635566789,4239.9814453125,21838037128,1.0006970167160034,84317323264,581.3953247070312,2917418688
57274.6796875,34284016248,4274.7431640625,18705358318,0.9996010065078735,91394294449,603.730224609375,2537227998
53569.765625,41810748221,4030.908935546875,26281795488,1.0003670454025269,106740129710,585.1473388671875,4254504824
54815.078125,30560857714,4096.912109375,16515693874,1.0010989904403687,73666340601,600.3367919921875,2485529516
57248.45703125,28116886357,4294.45361328125,15953126340,1.0001250505447388,73452340871,611.3668212890625,2731676788
57806.56640625,32370840356,4445.10498046875,19086475837,1.000525951385498,73041134842,624.31005859375,2425803182
57005.42578125,36708594618,4631.47900390625,28626354111,1.0002859830856323,87396693339,622.6698608398438,2781531694
57229.828125,36858195307,4586.990234375,27634826695,1.0002549886703491,80908197091,627.9715576171875,2806563703
56477.81640625,32379968686,4511.30224609375,21502671027,1.0001740455627441,77139535799,619.4701538085938,2378758113
53598.24609375,39789134215,4220.7060546875,25879591528,1.0006170272827148,92639344690,594.635986328125,2483348354
49200.703125,61385677469,4119.58740234375,38478999182,1.0000070333480835,138598008408,569.0772705078125,4458419873
49368.84765625,37198201161,4198.32275390625,25533062707,1.0006300210952759,82054153191,557.7830810546875,2394235567
50582.625,37707308001,4358.7373046875,28229518513,1.0013619661331177,93691250219,589.2561645507812,3567503629
50700.0859375,33676814852,4315.0615234375,22366213354,1.000972032546997,76247192218,579.6898803710938,2112954675
50504.796875,28479699446,4439.35791015625,18704315119,0.9993659853935242,69621457268,607.5927734375,2245501623
47672.12109375,29603577251,4119.81591796875,22296131874,1.0008820295333862,69831553004,571.6489868164062,2132955304
47243.3046875,30966005122,3908.49609375,28014595631,1.0017399787902832,68959994142,552.9668579101562,2089946472
49362.5078125,25775869261,4084.452392578125,19131502454,1.0005559921264648,57132834419,564.322509765625,1824951693
50098.3359375,21939223599,4134.453125,14057603914,1.0010509490966797,46141935617,570.823974609375,1307635490
46737.48046875,32166727776,3784.226806640625,23999841386,1.0001310110092163,66458705759,521.0115966796875,1900967743
46612.6328125,34638619079,3745.4404296875,23836759957,1.000648021697998,72787499023,511.2293701171875,2232411089
48896.72265625,36541828520,4018.388671875,26411188833,1.0004019737243652,77440719349,541.0269775390625,2079796859
47665.42578125,27268150947,3962.4697265625,19825531254,1.0002599954605103,60612599459,526.2465209960938,1500825557
46202.14453125,32902725329,3879.486572265625,23143541098,1.000838041305542,69599166416,525.706298828125,1804795681
46848.77734375,26098292690,3960.860107421875,19530895889,1.0001829862594604,55813387710,533.891357421875,1294574825
46707.015625,25154053861,3922.592529296875,16167785597,0.9999880194664001,49752180810,529.9720458984375,1199582659
46880.27734375,30961902129,3933.844482421875,21589690675,0.9989709854125977,66647887174,523.1624755859375,1467380399
48936.61328125,27055803928,4020.260009765625,16388555198,1.000396966934204,55687834682,528.7109985351562,1461697111
48628.51171875,24447979559,3982.099609375,13921756199,1.000331997871399,57931430463,533.6449584960938,1597323976
50784.5390625,28223878108,4108.015625,18007273742,1.0003880262374878,69151777565,548.725830078125,1867124970
50822.1953125,24367912228,4047.98291015625,12769090623,1.0012019872665405,60467261268,541.9020385742188,1677259160
50429.859375,19030650914,4093.281005859375,10894785525,0.9999229907989502,48124514320,547.3262329101562,1305388019
50809.515625,20964372926,4067.328125,11197244172,1.0004489421844482,50593058831,546.9949951171875,1576727325
50640.41796875,24324345758,4037.547607421875,11424360002,0.9999439716339111,54788742594,562.6414794921875,2180356553
47588.85546875,33430376883,3800.89306640625,17299472803,1.0011680126190186,74531099414,534.9280395507812,2791585162
46444.7109375,30049226299,3628.53173828125,15722555672,1.0002939701080322,63544101067,514.0007934570312,2159325741
47178.125,26686491018,3713.85205078125,12925377999,1.0010360479354858,54862404131,518.9097290039062,1950603827
46306.4453125,36974172400,3682.6328125,14157285268,1.000188946723938,57299598140,511.70831298828125,2020489898
47686.8125,24582667004,3769.697021484375,9776191466,1.000499963760376,43336209524,527.3527221679688,1622547014
47345.21875,27951569547,3829.56494140625,9881471548,1.0004600286483765,43202922802,531.3966674804688,1462276185
46458.1171875,33071628362,3761.38037109375,12080777893,1.0001649856567383,54125933259,512.135986328125,1949153130
45897.57421875,42494677905,3794.056640625,14030925983,1.0002080202102661,60765931554,507.506103515625,2200879165
43569.00390625,36851084859,3550.386962890625,18061338502,1.0001219511032104,77225535519,475.05694580078125,2870757788
43160.9296875,30208048289,3418.408203125,24293791313,1.000195026397705,71751236899,473.2756042480469,4400228627
41557.90234375,84196607520,3193.21044921875,24494179209,1.0002520084381104,82344370614,447.7884826660156,4613172287
41733.94140625,28066355845,3091.97265625,16037732700,1.0000970363616943,62394894090,430.24615478515625,4068139021
